LANGUAGE, English, Russian, French

STR_MISSION_TITLE, "INSURGENCY ON ALTIS", "МЯТЕЖ НА АЛЬТИСЕ", "INSURRECTION AU ALTIS"
STR_BRIEFING_TITLE, "Insurgency on Altis", "Мятеж на Альтисе", "Insurrection au Altis"

STR_MISSION_USBASE, "US ARMY BASE", "БАЗА АРМИИ США", "BASE MILITAIRE AMÉRICAINE"
STR_MISSION_TKCAMP, "INSURGENTS CAMP", "ЛАГЕРЬ МЯТЕЖНИКОВ", "CAMP INSURGÉ"

STR_MISSION_LOCATION, "ALTIS", "АЛЬТИС", "ALTIS"

STR_TEXT_BRIEFINGTEXT_COOP, "Find and destroy all weapon caches, thus cause cutting the main supply lines of weapons.<br/><br/>Neutralize the most influential field commanders.<br/> ", "Найти и уничтожить все схроны мятежников, перекрывая тем самым основные пути поставок оружия.<br/><br/>Нейтрализовать наиболее влиятельных полевых командиров.<br/> ", "Trouvez et détruisez toutes les caches d'armes, ainsi provoquer la coupure des principales lignes de ravitaillement d'armes.<br/><br/>Neutralisez les commandants les plus influents.<br/> "

STR_MISSION_VICTORY, "MISSION COMPLETE", "МИССИЯ ВЫПОЛНЕНА", "MISSION ACCOMPLIE"
STR_MISSION_DEFEAT, "MISSION FAILED", "МИССИЯ ПРОВАЛЕНА", "MISSION ECHOUÉE"

STR_BF_WEST_BASE, "US Army Base", "База Армии США", "Base Militaire Américaine"

STR_CFG_PAPABEAR, "HQ", "ШТАБ", "QG"
STR_CFG_FIREFLYBASE, "HQ", "ШТАБ", "QG"
STR_BF_SUPPORTMENU, "Support", "Связь", "Soutien"

STR_GROUPNAME_ALPHA, "Alpha", "Альфа", "Alpha"
STR_GROUPNAME_BRAVO, "Bravo", "Браво", "Bravo"
STR_GROUPNAME_CHARLIE, "Charlie", "Чарли", "Charlie"
STR_GROUPNAME_DELTA, "Delta", "Дельта", "Delta"

STR_GROUPNAME_PA, "Ghost", "Призрак", "Fantôme"
STR_GROUPNAME_PB, "Giant", "Великан", "Géant"

STR_ROLE_SQUADLEADER, "Squad leader", "Командир взвода", "Squad leader"
STR_ROLE_DELTALEADER, "Operator-squadleader", "Оператор-командир группы", "Operator-squadleader"
STR_ROLE_DELTASP, "Operator-specialist", "Оператор-специалист", "Operator-specialist"
STR_ROLE_DELTAMD, "Operator-corpsman", "Оператор-санитар", "Operator-corpsman"
STR_ROLE_DELTAOP, "Operator", "Оператор", "Operator"
STR_ROLE_SOLDIER, "Rifleman", "Стрелок", "Rifleman"

STR_DAP_LIFTVEHICLE, "Lift vehicle", "Прицепить технику", "Transporter le véhicule"
STR_DAP_DROPVEHICLE, "Drop vehicle", "Сбросить технику", "Déposer le véhicule"

STR_ARMORY_SAVELOADOUT, "Save loadout", "Сохранить снаряжение", "Enregistrer votre équipement"
STR_ARMORY_LOADLOADOUT, "Load loadout", "Загрузить снаряжение", "Charger votre équipement"
STR_ARMORY_NOSAVEDLOADOUT, "No saved loadout", "Нет сохраненного снаряжения", "Pas d'équipement sauvegardé"
STR_ARMORY_LOADOUTWASSAVED, "Loadout was saved", "Cнаряжение сохранено", "Votre équipement a été sauvegardé"

STR_TAKE_FIELD, "Take Assault Backpack", "Взять штурмовой рюкзак", "Take Assault Backpack"
STR_TAKE_BERGEN, "Take Bergen Backpack", "Взять рюкзак Bergen", "Take Bergen Backpack"
STR_TAKE_CARRYALL, "Take Carryall Backpack", "Взять рюкзак Caryall", "Take Carryall Backpack"

STR_REMOVE_BACKPACK, "Remove backpack", "Снять рюкзак", "Enlever votre sac à dos"
STR_NOSPACEBACKPACK, "Too heavy", "Слишком тяжело", "Trop lourd"

STR_TAKE_G_SHADES_BLACK, "Take Black Shades", "Взять черные очки", "Take Black Shades"
STR_TAKE_G_SHADES_BLUE, "Take Blue Shades", "Взять синие очки", "Take Blue Shades"
STR_TAKE_G_SHADES_BLACKRED, "Take Sport Shades", "Взять спортивные очки", "Take Sport Shades"
STR_TAKE_G_TACTICAL, "Take Tactical Glasses", "Взять тактические очки", "Take Tactical Glasses"

STR_REMOVE_GOGGLES, "Remove goggles", "Снять очки", "Remove goggles"

STR_VAS_Main_Weapons, "Weapons", "Оружие", "Weapons"
STR_VAS_Main_Magazines, "Magazines", "Боеприпасы", "Magazines"
STR_VAS_Main_Items, "Items", "Предметы", "Items"
STR_VAS_Main_Backpacks, "Backpacks", "Рюкзаки", "Backpacks"
STR_VAS_Main_Goggles, "Goggles", "Очки", "Goggles"
STR_VAS_Main_Uniforms, "Uniforms", "Униформы", "Uniforms"
STR_VAS_Main_Vests, "Vests", "Жилеты", "Vests"
STR_VAS_Main_Headgear, "Headgear", "Шлемы", "Headgear"
STR_VAS_Main_Attachments, "Attachments", "Приспособления", "Attachments"
STR_VAS_Main_Misc, "Misc", "Прочее", "Misc"

STR_VAS_Main_btnAdd, "Add", "Добавить", "Add"
STR_VAS_Main_btnRemove, "Remove", "Убрать", "Remove"
STR_VAS_Main_btnClose, "Close", "Закрыть", "Close"
STR_VAS_Main_btnLoad, "Load", "Загрузить", "Load"
STR_VAS_Main_btnSave, "Save", "Сохранить", "Save"
STR_VAS_Main_btnRemoveAll, "Remove All", "Убрать все", "Remove All"

STR_VAS_Main_VirtGear, "Virtual Ammobox", "Virtual Ammobox", "Virtual Ammobox"
STR_VAS_restricted, "is a restricted item and will not be added to your inventory", " - это запрещенный предемет и он не может быть добавлен в инвентарь", , "is a restricted item and will not be added to your inventory"

STR_VAS_Main_YCG, "Your Current Gear", "Снаряжение", "Your Current Gear"
STR_Vas_Main_CL, "Custom Loadout", "Свои наборы", "Custom Loadout"

STR_Vas_Main_Rifles, "Rifles", "Винтовки", "Rifles"
STR_Vas_Main_Scoped, "Scoped", "Снайперское", "Scoped"
STR_Vas_Main_Heavy, "Heavy", "Тяжелое", "Heavy"
STR_Vas_Main_Launcher, "Launchers", "Гранатометы", "Launchers"
STR_Vas_Main_Pistols, "Handguns", "Пистолеты", "Handguns"

STR_VAS_Load_Title, "Virtual Ammobox System - Load Gear", "Virtual Ammobox System - Загрузка снаряжения", "Virtual Ammobox System - Load Gear"
STR_VAS_Load_LOR, "Load On Respawn", "Загрузить при возрождении", "Load On Respawn"
STR_VAS_Load_btnLoad, "LOad", "Загрузить", "Load"
STR_VAS_Load_btnDelete, "Delete", "Удалить", "Delete"

STR_VAS_Load_TransferBtn, "Transfer", "Передать", "Transfer"
STR_VAS_Transfer_MainMenu, "Transfer menu", "Меню передачи", "Transfer menu"
STR_VAS_Transfer_SaveMenu, "Save transfer", "Сохранить передачу", "Save transfer"
STR_VAS_Transfer_Request, "wants to transfer you their saved loadout", "хочет передать вам свой набор", "wants to transfer you their saved loadout"
STR_VAS_Transfer_Request2, "Would you like to receive this request and save it?", "Вы хотите принять этот набор и сохранить его?", "Would you like to receive this request and save it?"
STR_VAS_Transfer_NoSlotSelection, "You either did not select a slot that you wanted to transfer to another user or the slot had no information", "Вы не выбрали набор для передачи или набор пуст", "You either did not select a slot that you wanted to transfer to another user or the slot had no information"
STR_VAS_Transfer_BadUnit, "The selected user either doesn't exist", "Выбранный вами игрок не существует", "The selected user either doesn't exist"

STR_VAS_Save_Title, "Virtual Ammobox System - Save Gear", "Virtual Ammobox System - Сохранение снаряжения", "Virtual Ammobox System - Save Gear"
STR_VAS_Save_btnSave, "Save", "Сохранить", "Save"

STR_VAS_Save_CLN, "Custom Loadout Name", "Название своего набора", "Custom Loadout Name"

STR_VAS_Prompt_selectSlotFail, "You didn't select a slot to delete!", "Вы не не выбрали слот для удаления", "You didn't select a slot to delete!"
STR_VAS_Prompt_deleteSlotNoInfo, "You can't delete that slot, it has no information!", "Вы не можете удалит этот слот. Нет данных", "You can't delete that slot, it has no information!"
STR_VAS_Prompt_deleteSlotWarning, "You are about to delete slot", "Это удалит данный слот", "You are about to delete slot"
STR_VAS_Prompt_deleteCanelled, "You cancelled deleting slot", "Вы отменили удаление слота", "You cancelled deleting slot"
STR_VAS_Prompt_deleteSuccess, "You deleted slot", "Вы удалили слот", "You deleted slot"
STR_VAS_Prompt_deleteYes, "Yes", "Да", "Yes"
STR_VAS_Prompt_deleteNo, "No", "Нет", "No"
STR_VAS_Prompt_slotNoInfo, "You didn't select a slot!", "Вы не выбрали слот", "You didn't select a slot!"
STR_VAS_Prompt_onRespawnFail, "No slot was selected to be loaded upon respawn!", "Нет слота для загрузки после возрождения", "No slot was selected to be loaded upon respawn!"
STR_VAS_Prompt_slotSelFail, "You didn't select a slot!", "Вы не выбрали слот", "You didn't select a slot!"
STR_VAS_Prompt_addToWeapon, "Weapon", "Оружие", "Weapon"
STR_VAS_Prompt_addToInv, "Inventory", "Инвентарь", "Inventory"
STR_VAS_Prompt_acc1, "What do you want to do with that attachment?", "Куда вы хотите добавить предмет?", "What do you want to do with that attachment?"
STR_VAS_Prompt_acc2, "Please know that if you choose to add it to your weapon your current existing attachment in that slot will be lost.", "При добавлении данного предмета на ваше оружие уже присоединенный прдемет будет утерян", "Please know that if you choose to add it to your weapon your current existing attachment in that slot will be lost."

STR_RALLYPOINT, "Rallypoint", "Точка сбора", "Point de ralliement"
STR_RALLYPOINT_PLACE, "Place rallypoint", "Установить точку сбора", "Placer un point de ralliement"
STR_RALLYPOINT_DELETE, "Remove rallypoint", "Убрать точку сбора", "Enlever le point de ralliement"
STR_RALLYPOINT_SPAWN, "Move to rallypoint", "Выдвинуться к точке сбора", "Se déplacer au point de ralliement"
